"DisplayName","Mail","MailEnabled","SecurityEnabled","CreatedDateTime"
"Project X team","ProjectXteam@DakiniNetwork803.onmicrosoft.com","True","False","22.07.2025 13:50:02"
"TestUniversalGroup",,"False","True","29.08.2025 19:09:07"
"ADSyncBrowse",,"False","True","09.07.2025 12:12:53"
"Group for Answers in Viva Engage – DO NOT DELETE 78362230785","groupforanswersinvivaengagedonotdelete78362230785210@DakiniNetwork803.onmicrosoft.com","True","False","05.10.2025 14:24:13"
"All Users",,"False","True","05.07.2025 13:20:27"
"HR-Admins",,"False","True","09.09.2025 16:52:51"
"Sales",,"False","True","10.07.2025 15:03:40"
"marketing",,"False","True","09.07.2025 10:38:23"
"Marketing Team","marketingteam@DakiniNetwork803.onmicrosoft.com","True","False","21.07.2025 16:32:15"
"ADSyncOperators",,"False","True","09.07.2025 12:12:53"
"ADSyncAdmins",,"False","True","09.07.2025 12:12:53"
"LocalAdmins-Workstations",,"False","True","08.09.2025 19:27:43"
"Dakini Network","DakiniNetwork@DakiniNetwork803.onmicrosoft.com","True","False","05.07.2025 13:20:13"
"All Company","allcompany@DakiniNetwork803.onmicrosoft.com","True","False","05.07.2025 13:25:10"
"IT",,"False","True","09.07.2025 18:15:29"
"All Company","allcompany147@DakiniNetwork803.onmicrosoft.com","True","False","11.05.2026 16:44:43"
"Hybrid agent extension applications",,"False","True","09.07.2025 10:38:23"
"RDP-Users",,"False","True","12.09.2025 14:06:11"
"DnsAdmins",,"False","True","09.07.2025 10:38:23"
"ADSyncPasswordSet",,"False","True","09.07.2025 12:12:53"
"DnsUpdateProxy",,"False","True","09.07.2025 10:38:23"
